Word;Frequency;Rank;Logarithm of Frequency;Logarithm of rank
давать;31;59;1.4913616938342726;1.7708520116421442
время;29;60;1.462397997898956;1.7781512503836434
дать;29;61;1.462397997898956;1.785329835010767
ехать;29;62;1.462397997898956;1.7923916894982537
бог;29;63;1.462397997898956;1.7993405494535815
сидеть;29;64;1.462397997898956;1.8061799739838869
пятница;29;65;1.462397997898956;1.8129133566428552
первый;28;66;1.447158031342219;1.8195439355418683
курский;28;67;1.447158031342219;1.8260748027008262
никакой;28;68;1.447158031342219;1.8325089127062362
чемоданчик;28;69;1.447158031342219;1.8388490907372552
ангел;28;70;1.447158031342219;1.845098040014257
както;28;71;1.447158031342219;1.851258348719075
ваш;28;72;1.447158031342219;1.8573324964312683
слеза;27;73;1.4313637641589871;1.8633228601204557
понимать;27;74;1.4313637641589871;1.8692317197309762
черноусый;27;75;1.4313637641589871;1.8750612633916997
сколько;26;76;1.414973347970818;1.8808135922807911
минута;26;77;1.414973347970818;1.8864907251724818
поезд;26;78;1.414973347970818;1.8920946026904801
глядеть;26;79;1.414973347970818;1.8976270912904412
утро;26;80;1.414973347970818;1.9030899869919433
год;26;81;1.414973347970818;1.9084850188786497
сразу;25;82;1.3979400086720375;1.9138138523837167
помнить;25;83;1.3979400086720375;1.919078092376074
женщина;25;84;1.3979400086720375;1.9242792860618814
б;25;85;1.3979400086720375;1.9294189257142926
писать;25;86;1.3979400086720375;1.9344984512435675
место;24;87;1.380211241711606;1.9395192526186182
взять;24;88;1.380211241711606;1.9444826721501687
четыре;24;89;1.380211241711606;1.9493900066449126
семёнович;24;90;1.380211241711606;1.9542425094393248
тридцать;23;91;1.3617278360175928;1.9590413923210932
пока;23;92;1.3617278360175928;1.9637878273455551
понять;23;93;1.3617278360175928;1.968482948553935
плохой;23;94;1.3617278360175928;1.9731278535996983
читать;22;95;1.3424226808222062;1.9777236052888476
сегодня;22;96;1.3424226808222062;1.9822712330395682
жизнь;22;97;1.3424226808222062;1.9867717342662448
ходить;22;98;1.3424226808222062;1.9912260756924949
стоить;22;99;1.3424226808222062;1.9956351945975497
чтонибыть;22;100;1.3424226808222062;2.0
перрон;22;101;1.3424226808222062;2.0043213737826426
умереть;22;102;1.3424226808222062;2.008600171761917
равно;21;103;1.322219294733919;2.012837224705172
херес;21;104;1.322219294733919;2.0170333392987803
белый;21;105;1.322219294733919;2.021189299069938
час;21;106;1.322219294733919;2.02530586526477
пять;21;107;1.322219294733919;2.0293837776852093
километр;21;108;1.322219294733919;2.0334237554869494
поцелуй;21;109;1.322219294733919;2.0374264979406234
пётр;21;110;1.322219294733919;2.041392685158225
стакан;20;111;1.301029995663981;2.045322978786657
утром;20;112;1.301029995663981;2.049218022670181
свет;20;113;1.301029995663981;2.0530784434834195
магазин;20;114;1.301029995663981;2.0569048513364723
отчий;20;115;1.301029995663981;2.0606978403536114
дурак;20;116;1.301029995663981;2.064457989226918
делать;20;117;1.301029995663981;2.0681858617461617
встать;20;118;1.301029995663981;2.0718820073061255
столько;20;119;1.301029995663981;2.0755469613925306
